TIPS;NOSAUKUMS;ADRESE
Bibliotēka;Tārgales bibliotēka;"Dzintarkalni", Tārgale, Tārgales pag., Ventspils nov., LV-3621
Bibliotēka;Ugāles bibliotēka;"Bērnudārzs", Ugāle, Ugāles pag., Ventspils nov., LV-3615
Bibliotēka;Usmas bibliotēka;"Auseklīši", Usma, Usmas pag., Ventspils nov., LV-3619
Bibliotēka;Popes bibliotēka;Skolas iela 14, Pope, Popes pag., Ventspils nov., LV-3614
Bibliotēka;Zūru bibliotēka;"Zūras 7", Zūras, Vārves pag., Ventspils nov., LV-3623
Bibliotēka;Ziru bibliotēka;"Saulgrieži", Ziras, Ziru pag., Ventspils nov., LV-3624
Bibliotēka;Užavas bibliotēka;"Kalves", Užava, Užavas pag., Ventspils nov., LV-3627
Bibliotēka;Puzes bibliotēka;"Puzes pamatskola", Blāzma, Puzes pag., Ventspils nov., LV-3613
Bibliotēka;Piltenes pilsētas bibliotēka;Maija iela 6, Piltene, Ventspils nov., LV-3620
Bibliotēka;Ances bibliotēka;"Vālodzes", Ance, Ances pag., Ventspils nov., LV-3612
Bibliotēka;Gāliņciema bibliotēka;Kuldīgas iela 110, Ventspils, LV-3601
Bibliotēka;Valmieras integrētā bibliotēka;Cēsu iela 4, Valmiera, LV-4201
Bibliotēka;Vidzemes Augstskolas bibliotēka;Cēsu iela 5, Valmiera, LV-4201
Bibliotēka;Rūjienas pilsētas bibliotēka;Skolas iela 6, Rūjiena, Rūjienas nov., LV-4240
Bibliotēka;Vilpulkas pagasta bibliotēka;"Pagastmāja", Vilpulka, Vilpulkas pag., Rūjienas nov., LV-4241
Bibliotēka;Ipiķu pagasta bibliotēka;"Papardes", Ipiķi, Ipiķu pag., Rūjienas nov., LV-4242
Bibliotēka;Ēveles pamatskolas bibliotēka;"Pāvulēni", Ēvele, Ēveles pag., Burtnieku nov., LV-4712
Bibliotēka;Matīšu pagasta bibliotēka;Skolas iela 22, Matīši, Matīšu pag., Burtnieku nov., LV-4210
Bibliotēka;Burtnieku novada pašvaldības Rencēnu pagasta 1. bibliotēka;Valmieras iela 13, Rencēni, Rencēnu pag., Burtnieku nov., LV-4232
Bibliotēka;Jeru pagasta bibliotēka;"Jeru skola", Endzele, Jeru pag., Rūjienas nov., LV-4234
Bibliotēka;Skaņkalnes pagasta bibliotēka;Bērzu iela 2, Skaņkalne, Skaņkalnes pag., Mazsalacas nov., LV-4215
Bibliotēka;Ramatas pagasta bibliotēka;"Ķīši", Ramata, Ramatas pag., Mazsalacas nov., LV-4216
Bibliotēka;Sēļu pagasta bibliotēka;"Sēļu muiža", Sēļi, Sēļu pag., Mazsalacas nov., LV-4213
Bibliotēka;Naukšēnu pagasta bibliotēka;"Pagasta nams", Naukšēni, Naukšēnu pag., Naukšēnu nov., LV-4244
Bibliotēka;Zilākalna pagasta bibliotēka;Kultūras iela 1, Zilaiskalns, Zilākalna pag., Kocēnu nov., LV-4222
Bibliotēka;Vaidavas pagasta bibliotēka;Skolas iela 1A, Vaidava, Vaidavas pag., Kocēnu nov., LV-4228
Bibliotēka;Kocēnu pagasta 1.bibliotēka;Alejas iela 4, Kocēni, Kocēnu pag., Kocēnu nov., LV-4220
Bibliotēka;Bērzaines pagasta bibliotēka;"Pīlādži", Bērzaine, Bērzaines pag., Kocēnu nov., LV-4208
Bibliotēka;Grobiņas pilsētas bibliotēka;Skolas iela 1, Grobiņa, Grobiņas nov., LV-3430
Bibliotēka;Grobiņas novada Medzes pagasta bibliotēka;"Priedes", Kapsēde, Medzes pag., Grobiņas nov., LV-3461
Bibliotēka;Bārtas pagasta bibliotēka;"Tautas nams", Bārta, Bārtas pag., Grobiņas nov., LV-3482
Bibliotēka;Virgas pagasta bibliotēka;"Liepsalas", Virga, Virgas pag., Priekules nov., LV-3433
Bibliotēka;Ziemupes bibliotēka;"Ziemupes tautas nams", Ziemupe, Vērgales pag., Pāvilostas nov., LV-3463
Bibliotēka;Salaspils novada bibliotēka;Enerģētiķu iela 9, Salaspils, Salaspils nov., LV-2121
Bibliotēka;Aronas pagasta Kusas bibliotēka;Skolas iela 3, Kusa, Aronas pag., Madonas nov., LV-4847
Bibliotēka;Ļaudonas pagasta bibliotēka;Avotu iela 3, Ļaudona, Ļaudonas pag., Madonas nov., LV-4862
Bibliotēka;Sāvienas bibliotēka;"Liepas", Ļaudonas pag., Madonas nov., LV-4862
Bibliotēka;Kraukļu bibliotēka;"Kraukļu skola", Cesvaines pag., Cesvaines nov., LV-4871
Bibliotēka;Cesvaines bibliotēka;Pils iela 6, Cesvaine, Cesvaines nov., LV-4871
Bibliotēka;Madonas novada bibliotēka;Skolas iela 12, Madona, Madonas nov., LV-4801
Bibliotēka;Barkavas bibliotēka;Brīvības iela 9, Barkava, Barkavas pag., Madonas nov., LV-4834
Bibliotēka;Viesienas bibliotēka;"Lautere", Lautere, Aronas pag., Madonas nov., LV-4846
Bibliotēka;Dzelzavas pagasta 2.bibliotēka;Bērzu iela 13A, Aizpurve, Dzelzavas pag., Madonas nov., LV-4873
Bibliotēka;Aronas bibliotēka;"Dimanti", Aronas pag., Madonas nov., LV-4847
Bibliotēka;Mētrienas pagasta bibliotēka;Skolas iela 7, Mētriena, Mētrienas pag., Madonas nov., LV-4865
Bibliotēka;Praulienas bibliotēka;Kalna iela 2, Prauliena, Praulienas pag., Madonas nov., LV-4825
Bibliotēka;Liezēres pagasta bibliotēka;Vidzemes iela 3, Liezēre, Liezēres pag., Madonas nov., LV-4884
Bibliotēka;Bērzaunes bibliotēka;Aronas iela 6, Sauleskalns, Bērzaunes pag., Madonas nov., LV-4853
Bibliotēka;Liezēres pagasta Mēdzūlas bibliotēka;"Pumpuri 3", Liezēres pag., Madonas nov., LV-4884
Bibliotēka;Vestienas bibliotēka;"Pagastmāja", Vestiena, Vestienas pag., Madonas nov., LV-4855
Bibliotēka;Saikavas bibliotēka;"Vecsaikava 2", Vecsaikava, Praulienas pag., Madonas nov., LV-4825
Bibliotēka;Biksēres bibliotēka;"Biksēre", Biksēre, Sarkaņu pag., Madonas nov., LV-4870
Bibliotēka;Lazdonas pagasta bibliotēka;Meža iela 2, Lazdona, Lazdonas pag., Madonas nov., LV-4824
Bibliotēka;Stalīdzānu bibliotēka;Aiviekstes iela 2, Stalīdzāni, Barkavas pag., Madonas nov., LV-4834
Bibliotēka;Degumnieku bibliotēka;Skolas iela 4, Degumnieki, Ošupes pag., Madonas nov., LV-4833
Bibliotēka;Dzelzavas pagasta 1.bibliotēka;"Jaunliepiņas", Dzelzava, Dzelzavas pag., Madonas nov., LV-4873
Bibliotēka;Sarkaņu bibliotēka;"Sarkaņi", Sarkaņi, Sarkaņu pag., Madonas nov., LV-4870
Bibliotēka;Kalsnavas pagasta bibliotēka;Pārupes iela 2, Jaunkalsnava, Kalsnavas pag., Madonas nov., LV-4860
Bibliotēka;Ērgļu bibliotēka;Rīgas iela 5, Ērgļi, Ērgļu pag., Ērgļu nov., LV-4840
Bibliotēka;Jumurdas bibliotēka;Ezera iela 2, Jumurda, Jumurdas pag., Ērgļu nov., LV-4844
Bibliotēka;Sausnējas bibliotēka;"Straumes", Sausnēja, Sausnējas pag., Ērgļu nov., LV-4841
Bibliotēka;Jelgavas pilsētas bibliotēka;Akadēmijas iela 26, Jelgava, LV-3001
Bibliotēka;Miezītes bibliotēka;Dobeles šoseja 100A, Jelgava, LV-3003
Bibliotēka;Bērnu bibliotēka "Zinītis";Lielā iela 15, Jelgava, LV-3001
Bibliotēka;Nākotnes bibliotēka;Skolas iela 6, Nākotne, Glūdas pag., Jelgavas nov., LV-3040
Bibliotēka;Sesavas pagasta Bērvircavas bibliotēka;Upes iela 1, Bērvircava, Sesavas pag., Jelgavas nov., LV-3034
Bibliotēka;Kalnciema pagasta bibliotēka;Jelgavas iela 15, Kalnciems, Kalnciema pag., Jelgavas nov., LV-3016
Bibliotēka;Jelgavas Pārlielupes bibliotēka;Loka maģistrāle 17, Jelgava, LV-3004
Bibliotēka;Svētes pagasta Jēkabnieku bibliotēka;Straumes iela 3, Jēkabnieki, Svētes pag., Jelgavas nov., LV-3028
Bibliotēka;Svētes pagasta bibliotēka;Skolas iela 2, Svēte, Svētes pag., Jelgavas nov., LV-3008
Bibliotēka;Lielplatones pagasta bibliotēka;Alejas iela 7, Lielplatone, Lielplatones pag., Jelgavas nov., LV-3022
Bibliotēka;Vilces pagasta Ziedkalnes bibliotēka;Ziedkalnes iela 26, Ziedkalne, Vilces pag., Jelgavas nov., LV-3026
Bibliotēka;Elejas pagasta bibliotēka;Lietuvas iela 42, Eleja, Elejas pag., Jelgavas nov., LV-3023
Bibliotēka;Jaunsvirlaukas pagasta Staļģenes bibliotēka;Skolas iela 2, Staļģene, Jaunsvirlaukas pag., Jelgavas nov., LV-3031
Bibliotēka;Līvbērzes pagasta bibliotēka;Jelgavas iela 17, Līvbērze, Līvbērzes pag., Jelgavas nov., LV-3014
Bibliotēka;Zaļenieku pagasta bibliotēka;Centra iela 1, Zaļenieki, Zaļenieku pag., Jelgavas nov., LV-3011
Bibliotēka;Lubānas pilsētas bibliotēka;Oskara Kalpaka iela 2, Lubāna, Lubānas nov., LV-4830
Bibliotēka;Jūrmalas Centrālā bibliotēka;Dubultu prospekts 42, Jūrmala, LV-2015
Bibliotēka;Ķemeru bibliotēka;Tukuma iela 20, Jūrmala, LV-2012
Bibliotēka;Andzeļu pagasta bibliotēka;"Ausekļi", Andzeļi, Andzeļu pag., Dagdas nov., LV-5696
Bibliotēka;Asūnes pagasta bibliotēka;Kalna iela 3, Asūne, Asūnes pag., Dagdas nov., LV-5676
Bibliotēka;Andrupenes pagasta bibliotēka;Skolas iela 3, Andrupene, Andrupenes pag., Dagdas nov., LV-5687
Bibliotēka;Bērziņu pagasta bibliotēka;Bērzu iela 2, Porečje, Bērziņu pag., Dagdas nov., LV-5697
Bibliotēka;Dagdas novada tautas bibliotēka;Alejas iela 29, Dagda, Dagdas nov., LV-5674
Bibliotēka;Ezernieku pagasta bibliotēka;"Pagastmājas", Ezernieki, Ezernieku pag., Dagdas nov., LV-5692
Bibliotēka;Konstantinovas pagasta bibliotēka;Saules iela 7, Konstantinova, Konstantinovas pag., Dagdas nov., LV-5680
Bibliotēka;Ķepovas pagasta tautas bibliotēka;"Pagastmāja", Neikšāni, Ķepovas pag., Dagdas nov., LV-5677
Bibliotēka;Svariņu pagasta bibliotēka;Skolas iela 13, Svarinci, Svariņu pag., Dagdas nov., LV-5698
Bibliotēka;Krāslavas novada centrālā bibliotēka;Dīķu iela 5, Krāslava, Krāslavas nov., LV-5601
Bibliotēka;Šķaunes pagasta bibliotēka;"Tautas nams", Šķaune, Šķaunes pag., Dagdas nov., LV-5695
Bibliotēka;Ūdrīšu pagasta Augstkalnes bibliotēka;Kalna iela 2, Augstkalne, Ūdrīšu pag., Krāslavas nov., LV-5601
Bibliotēka;Kombuļu pagasta bibliotēka;Skolas iela 4, Kombuļi, Kombuļu pag., Krāslavas nov., LV-5656
Bibliotēka;Indras pagasta bibliotēka;Skolas iela 3, Indra, Indras pag., Krāslavas nov., LV-5664
Bibliotēka;Kalniešu pagasta bibliotēka;"Daugavas", Kalnieši, Kalniešu pag., Krāslavas nov., LV-5660
Bibliotēka;Izvaltas pagasta bibliotēka;Saules iela 1, Izvalta, Izvaltas pag., Krāslavas nov., LV-5652
Bibliotēka;Kaplavas pagasta bibliotēka;Kaplavas iela 3, Kaplava, Kaplavas pag., Krāslavas nov., LV-5668
Bibliotēka;Robežnieku pagasta bibliotēka;Jaunatnes iela 6, Robežnieki, Robežnieku pag., Krāslavas nov., LV-5666
Bibliotēka;Čornajas pagasta Ratnieku bibliotēka;Rēzeknes iela 2, Ratnieki, Čornajas pag., Rēzeknes nov., LV-4617
Bibliotēka;Lendžu pagasta bibliotēka;Viraudas iela 3, Lendži, Lendžu pag., Rēzeknes nov., LV-4625
Bibliotēka;Mākoņkalna pagasta bibliotēka;Skolas iela 3, Lipuški, Mākoņkalna pag., Rēzeknes nov., LV-4626
Bibliotēka;Silmalas pagasta Kruķu bibliotēka;Miera iela 4, Kruki, Silmalas pag., Rēzeknes nov., LV-4636
Bibliotēka;Sokolku pagasta bibliotēka;"Strupļi", Strupļi, Sokolku pag., Viļānu nov., LV-4640
Bibliotēka;Dricānu pagasta bibliotēka;"Dricānu bērnudārzs", Dricāni, Dricānu pag., Rēzeknes nov., LV-4615
Bibliotēka;Gaigalavas pagasta Vecstrūžānu bibliotēka;"Vecstrūžāni", Strūžāni, Gaigalavas pag., Rēzeknes nov., LV-4649
Bibliotēka;Gaigalavas pagasta bibliotēka;Rēzeknes iela 2, Gaigalava, Gaigalavas pag., Rēzeknes nov., LV-4618
Bibliotēka;Nagļu pagasta bibliotēka;"Priedītes", Bernāni, Nagļu pag., Rēzeknes nov., LV-4631
Bibliotēka;Vērēmu pagasta bibliotēka;Jāņa Zvīdra iela 3C, Sondori, Vērēmu pag., Rēzeknes nov., LV-4647
Bibliotēka;Ķeguma novada bibliotēkas Tomes bibliotēka;"Tomes pamatskola", Tome, Tomes pag., Ķeguma nov., LV-5020
Bibliotēka;Ķeguma novada Rembates bibliotēka;Lielvārdes iela 3, Rembate, Rembates pag., Ķeguma nov., LV-5016
Bibliotēka;Ķeguma novada bibliotēka;Skolas iela 6, Ķegums, Ķeguma nov., LV-5020
Bibliotēka;Ikšķiles novada Tīnūžu bibliotēka;"Kraujas", Tīnūži, Tīnūžu pag., Ikšķiles nov., LV-5015
Bibliotēka;Lielvārdes pilsētas bibliotēka;Parka iela 3, Lielvārde, Lielvārdes nov., LV-5070
Bibliotēka;Lēdmanes pagasta bibliotēka;"Pagastmāja", Lēdmane, Lēdmanes pag., Lielvārdes nov., LV-5011
Bibliotēka;Lāčplēša bibliotēka;Raiņa iela 50, Lielvārde, Lielvārdes nov., LV-5070
Bibliotēka;Ikšķiles novada Centrālā bibliotēka;Strēlnieku iela 10, Ikšķile, Ikšķiles nov., LV-5052
Bibliotēka;Ogres Centrālā bibliotēka;Brīvības iela 35, Ogre, Ogres nov., LV-5001
Bibliotēka;Ogres novada Madlienas pagasta bibliotēka;"Taurenīši", Madliena, Madlienas pag., Ogres nov., LV-5045
Bibliotēka;Birzgales pagasta bibliotēka;Nākotnes iela 2A, Birzgale, Birzgales pag., Ķeguma nov., LV-5033
Bibliotēka;Ogres novada Ciemupes bibliotēka;Liepu gatve 12, Ciemupe, Ogresgala pag., Ogres nov., LV-5041
Bibliotēka;Jumpravas pagasta bibliotēka;Ozolu iela 14, Jumprava, Jumpravas pag., Lielvārdes nov., LV-5022
Bibliotēka;Krapes pagasta bibliotēka;"Pagasta padomes ēka", Krape, Krapes pag., Ogres nov., LV-5012
Bibliotēka;Ķeipenes pagasta bibliotēka;"Saulīte", Ķeipene, Ķeipenes pag., Ogres nov., LV-5062
Bibliotēka;Lauberes pagasta bibliotēka;Ozolu iela 3, Laubere, Lauberes pag., Ogres nov., LV-5044
Bibliotēka;Mazozolu pagasta bibliotēka;Skolas iela 1, Līčupe, Mazozolu pag., Ogres nov., LV-5065
Bibliotēka;Meņģeles pagasta bibliotēka;"Pagastmāja", Meņģele, Meņģeles pag., Ogres nov., LV-5047
Bibliotēka;Ogresgala bibliotēka;Bumbieru iela 9, Ogresgals, Ogresgala pag., Ogres nov., LV-5041
Bibliotēka;Suntažu pagasta bibliotēka;"Doktorāts", Suntaži, Suntažu pag., Ogres nov., LV-5060
Bibliotēka;Taurupes pagasta bibliotēka;Bērzu iela 6, Taurupe, Taurupes pag., Ogres nov., LV-5064
Bibliotēka;Latgales Centrālā bibliotēka;Rīgas iela 22A, Daugavpils, LV-5401
Bibliotēka;Latgales Centrālās bibliotēkas filiāle Ceriņu bibliotēka;Lauska iela 16, Daugavpils, LV-5410
Bibliotēka;Latgales Centrālās bibliotēkas filiāle Bērnu bibliotēka "Zīlīte";Mihoelsa iela 58, Daugavpils, LV-5401
Bibliotēka;Latgales Centrālās bibliotēkas filiāle Jaunbūves bibliotēka;18. novembra iela 161, Daugavpils, LV-5417
Bibliotēka;Latgales Centrālās bibliotēkas filiāle Piekrastes bibliotēka;Aveņu iela 40, Daugavpils, LV-5422
Bibliotēka;Laucesas pagasta bibliotēka;"19", Laucesa, Laucesas pag., Daugavpils nov., LV-5461
Bibliotēka;Līksnas pagasta bibliotēka;Daugavas iela 10A, Līksna, Līksnas pag., Daugavpils nov., LV-5456
Bibliotēka;Kalkūnes pagasta bibliotēka;Ķieģeļu iela 4, Kalkūni, Kalkūnes pag., Daugavpils nov., LV-5449
Bibliotēka;Vārkavas novada Upmalas bibliotēka;Skolas iela 5, Vecvārkava, Upmalas pag., Vārkavas nov., LV-5335
Bibliotēka;Vārkavas novada Rožkalnu bibliotēka;Saules iela 16, Rimicāni, Rožkalnu pag., Vārkavas nov., LV-5325
Bibliotēka;Riebiņu novada Stabulnieku bibliotēka;Skolas iela 3, Stabulnieki, Stabulnieku pag., Riebiņu nov., LV-5333
Bibliotēka;Riebiņu novada centrālā bibliotēka;Saules iela 8B, Riebiņi, Riebiņu pag., Riebiņu nov., LV-5326
Bibliotēka;Preiļu novada Aizkalnes bibliotēka;Raiņa iela 5, Aizkalne, Aizkalnes pag., Preiļu nov., LV-5305
Bibliotēka;Preiļu novada Līču bibliotēka;Jaunatnes iela 1, Līči, Preiļu pag., Preiļu nov., LV-5301
Bibliotēka;Preiļu novada Pelēču pagasta bibliotēka;Liepu iela 5, Pelēči, Pelēču pag., Preiļu nov., LV-5320
Bibliotēka;Pelēču pagasta Ārdavas bibliotēka;"Māja Nr. 1", Ārdava, Pelēču pag., Preiļu nov., LV-5329
Bibliotēka;Preiļu novada Saunas pagasta bibliotēka;Mehanizatoru iela 2, Prīkuļi, Saunas pag., Preiļu nov., LV-5323
Bibliotēka;Preiļu Galvenā bibliotēka;Kārsavas iela 4, Preiļi, Preiļu nov., LV-5301
Bibliotēka;Preiļu novada Smelteru bibliotēka;"Smelteru bibliotēka", Smelteri, Saunas pag., Preiļu nov., LV-5326
Bibliotēka;Aglonas novada Grāveru pagasta bibliotēka;Ezeru iela 21, Grāveri, Grāveru pag., Aglonas nov., LV-5655
Bibliotēka;Aglonas novada Kastuļinas pagasta bibliotēka;Ilzas iela 19, Priežmale, Kastuļinas pag., Aglonas nov., LV-5685
Bibliotēka;Šķeltovas pagasta bibliotēka;Daugavpils iela 7, Šķeltova, Šķeltovas pag., Aglonas nov., LV-5653
Bibliotēka;Meirānu bibliotēka;"Meirānu Stacija", Meirāni, Indrānu pag., Lubānas nov., LV-4826
Bibliotēka;Varakļānu tautas bibliotēka;1. maija laukums 4, Varakļāni, Varakļānu nov., LV-4838
Bibliotēka;Varakļānu novada Stirnienes bibliotēka;"Stirnienes muiža", Varakļānu pag., Varakļānu nov., LV-4837
Bibliotēka;Varakļānu novada Murmastienes bibliotēka;Jaunatnes iela 14, Murmastiene, Murmastienes pag., Varakļānu nov., LV-4835
Bibliotēka;Limbažu Galvenā bibliotēka;Parka iela 23, Limbaži, Limbažu nov., LV-4001
Bibliotēka;Lādezera bibliotēka;Skolas iela 1, Lādezers, Limbažu pag., Limbažu nov., LV-4011
Bibliotēka;Katvaru bibliotēka;"Katvaru skola", Katvaru pag., Limbažu nov., LV-4061
Bibliotēka;Pociema bibliotēka;Liepu iela 8, Pociems, Katvaru pag., Limbažu nov., LV-4061
Bibliotēka;Ārciema bibliotēka;"Antoni", Ārciems, Pāles pag., Limbažu nov., LV-4052
Bibliotēka;Pāles bibliotēka;Meldru iela 1, Pāle, Pāles pag., Limbažu nov., LV-4052
Bibliotēka;Skultes bibliotēka;"Pagastmāja", Mandegas, Skultes pag., Limbažu nov., LV-4025
Bibliotēka;Viļķenes bibliotēka;Dārza iela 1, Viļķene, Viļķenes pag., Limbažu nov., LV-4050
Bibliotēka;Vitrupes bibliotēka;"Māja 5", Vitrupe, Viļķenes pag., Limbažu nov., LV-4050
Bibliotēka;Stienes bibliotēka;"Kalnieši 12", Umurgas pag., Limbažu nov., LV-4004
Izglītības iestāde;Liepupes vidusskola;Ezera iela 2, Liepupe, Liepupes pag., Salacgrīvas nov., LV-4023
Bibliotēka;Rīgas Centrālās bibliotēkas Čiekurkalna filiālbibliotēka;Čiekurkalna 1. līnija 64, Rīga, LV-1026
Bibliotēka;Rīgas Centrālās bibliotēkas Mežciema filiālbibliotēka;Hipokrāta iela 31, Rīga, LV-1079
Bibliotēka;Rīgas Centrālās bibliotēkas Sarkandaugavas filiālbibliotēka;Aptiekas iela 14A, Rīga, LV-1005
Bibliotēka;Rīgas Centrālās bibliotēkas Ķengaraga filiālbibliotēka;Maskavas iela 271A, Rīga, LV-1063
Bibliotēka;Rīgas Centrālā bibliotēka;Brīvības iela 49/53, Rīga, LV-1010
Bibliotēka;Rīgas Centrālās bibliotēkas Pļavnieku filiālbibliotēka;Salnas iela 8, Rīga, LV-1021
Bibliotēka;Rīgas Centrālās bibliotēkas filiālbibliotēka "Vidzeme";Brīvības gatve 206, Rīga, LV-1039
Bibliotēka;Rīgas Centrālās bibliotēkas Imantas filiālbibliotēka;Slokas iela 161, Rīga, LV-1067
